url
resource_type
title
handle
keep_change_decision
target_url
seo_notes
status
"/products/period-swim-undies","product","UnderSwim: Period Swim Underwear","period-swim-undies","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/first-period-kit","product","First Period Kit","first-period-kit","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/period-underwear-girls","product","Bumpers Briefs: First & Early Period Years Underwear","period-underwear-girls","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/period-dance-gym","product","UnderDance: High-Cut Active Period Undies","period-dance-gym","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/period-boyshort-undies","product","UnderShortie: Boyleg Leak-Proof Period Briefs","period-boyshort-undies","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/wet-pouch","product","Wet Pouch","wet-pouch","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/period-starter-emergency-kit","product","Period Starter & Emergency Kit","period-starter-emergency-kit","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/period-swimwear-bottoms-for-teens","product","Period Bikini Bottoms for Teens","period-swimwear-bottoms-for-teens","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/g-fit-underswim-period-swim-underwear","product","UnderSwim: Period Swim Underwear (G-Fit)","g-fit-underswim-period-swim-underwear","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/the-pool-perfect-combo","product","The Pool Perfect Combo","the-pool-perfect-combo","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/underliner-girls-leak-proof","product","UnderLiner","underliner-girls-leak-proof","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/aar-combo-arch","product","The Active All-Rounder Combo","aar-combo-arch","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/tpp-arch","product","The Pool Perfect Combo","tpp-arch","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/aar-arch","product","The Active All Rounder Combo","aar-arch","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/teen-period-pads","product","Cottons Teen Pads with Wings","teen-period-pads","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/teen-girl-tampons","product","Cottons Girl-Sized Tampons","teen-girl-tampons","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/stain-slayer-single-use-wipe","product","Stain Slayer Single Use Wipe","stain-slayer-single-use-wipe","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/arch-2","product","The Ready-for-Anything Pack (Dance Edition)","arch-2","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/arch","product","The Ready-for-Anything Pack (Swim Edition)","arch","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/underrider","product","UnderRider","underrider","KEEP - pending SEO comparison","","Existing product URL; preserve by default","UNLISTED"
"/products/the-encore-bundle-1","product","The Encore Bundle","the-encore-bundle-1","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/how-to-wear-inserts","product","How to Wear Inserts","how-to-wear-inserts","KEEP - pending SEO comparison","","Existing product URL; preserve by default","UNLISTED"
"/products/swimsync-period-one-piece-swimsuit","product","SwimSync Period One-Piece Swimsuit","swimsync-period-one-piece-swimsuit","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/underaustin","product","UnderAustin Performance Period Undershort","underaustin","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/period-starter-bundle-5-pack","product","Build Your Period Starter Bundle","period-starter-bundle-5-pack","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/the-ready-for-anything-pack-dance-edition","product","Create Your Dance Edition Bundle","the-ready-for-anything-pack-dance-edition","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/the-ready-for-anything-pack-swim-edition","product","Create Your Swim Edition Bundle","the-ready-for-anything-pack-swim-edition","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/tpp-combo","product","Choose Your Pool Perfect Combo","tpp-combo","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/aar-combo","product","THE ACTIVE ALL-ROUNDER BUNDLE","aar-combo","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/age-champs-bundle","product","AGE CHAMPS BUNDLE","age-champs-bundle","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/products/free-unlimited-return-for-3-48-valid-in-us-and-ca","product","Free Returns","free-unlimited-return-for-3-48-valid-in-us-and-ca","KEEP - pending SEO comparison","","Existing product URL; preserve by default","UNLISTED"
"/products/vdf-bundle","product","VDF BUNDLE","vdf-bundle","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ARCHIVED"
"/products/the-encore-bundle-2","product","The Encore Bundle","the-encore-bundle-2","KEEP - pending SEO comparison","","Existing product URL; preserve by default","ACTIVE"
"/collections/teen-period-underwear","collection","Bumpers Briefs: Teen Period Underwear","teen-period-underwear","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/girls-period-swimwear","collection","Teen Period Swimwear","girls-period-swimwear","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/all","collection","Shop All | Active Girls Period Underwear","all","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/ex-bundles","collection","Ex Bundles","ex-bundles","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/best-first-period-tween-teen-girl","collection","Best Period Products for Tween and Teen Girls","best-first-period-tween-teen-girl","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/pre-orders","collection","Preorders","pre-orders","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/full-cycle-bumpers-briefs-bundle","collection","Period Underwear Starter Kit","full-cycle-bumpers-briefs-bundle","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
